,index,contribution_id,features,personId,pred,pred_conf
10,10,57d2ab82c0f22c010080cc0d,"Tsuyoshi  Hayashi japan Topic: Radiology,Imaging General,Diagnosis,Imaging,Cancer Diagnostics General,Ultrasound (Sonography) Topic: Radiology,Imaging General,Diagnosis,Imaging,Cancer Diagnostics General,Ultrasound (Sonography) Topic: Radiology Imaging General Diagnosis Imaging Cancer Diagnostics General Ultrasound (Sonography)",1300152136112,1300152136112,0.0
11,11,57d4533f4c8a580100068bce,"A. M.  Tan kk women's and children's hospital, paediatric subspecialties, singapore, singapore. Germ-Cell Tumors [All],Oncology General,Solid Tumors plus Hemato-Onc [All] Germ-Cell Tumors [All],Oncology General,Solid Tumors plus Hemato-Onc [All] Germ-Cell Tumors [All] Oncology General Solid Tumors plus Hemato-Onc [All]",TR_APAC_113,TR_APAC_113,0.0
12,12,57d944d5daafc31b10d527e5,Werner  Jung  Implant (General) Implant (General) Implant (General),1300152212113,1300152212113,0.0
13,13,57d944d5daafc31b10d5290f,"Werner  Jung  Therapy General,Therapy plain only Therapy General,Therapy plain only Therapy General Therapy plain only",1300152212113,1300152212113,0.0
14,14,57d944d5daafc31b10d529a3,"Werner  Jung  Arrhythmias,Atrial Fibrillation - Non-Pharmacological Therapy,Ablation,Atrial Fibrillation - Ablation,Topic: Cardiovascular ,Atrial Fibrillation Arrhythmias,Atrial Fibrillation - Non-Pharmacological Therapy,Ablation,Atrial Fibrillation - Ablation,Topic: Cardiovascular ,Atrial Fibrillation Arrhythmias Atrial Fibrillation - Non-Pharmacological Therapy Ablation Atrial Fibrillation - Ablation Topic: Cardiovascular  Atrial Fibrillation",1300152212113,1300152212113,0.0
15,15,57d944d5daafc31b10d529bf,"Werner  Jung  Macrovascular Complications,Topic: Cardiovascular ,Therapy plain only,Therapy General,Heart Failure,Cardiovascular General Macrovascular Complications,Topic: Cardiovascular ,Therapy plain only,Therapy General,Heart Failure,Cardiovascular General Macrovascular Complications Topic: Cardiovascular  Therapy plain only Therapy General Heart Failure Cardiovascular General",1300152212113,1300152212113,0.0
16,16,57d944d5daafc31b10d52a64,Werner  Jung    ,1300152212113,1300152212113,0.0
17,17,57d944d5daafc31b10d52b1e,"Werner  Jung  Therapy General,Therapy plain only Therapy General,Therapy plain only Therapy General Therapy plain only",1300152212113,1300152212113,0.0
18,18,57d944d8daafc31b10d54712,"A.  Tan singapore Pediatrics,Imaging General,Imaging,Diagnosis,Topic: Radiology Pediatrics,Imaging General,Imaging,Diagnosis,Topic: Radiology Pediatrics Imaging General Imaging Diagnosis Topic: Radiology",TR_APAC_113,TR_APAC_113,0.0
19,19,57d944dadaafc31b10d558ab,"Haining  Yang university of hawaii cancer center, usa Mesothelioma [All],Topic: Respiratory,Solid Tumors plus Hemato-Onc [All],Topic: Solid Tumors,Thoracic Cancers [All] Mesothelioma [All],Topic: Respiratory,Solid Tumors plus Hemato-Onc [All],Topic: Solid Tumors,Thoracic Cancers [All] Mesothelioma [All] Topic: Respiratory Solid Tumors plus Hemato-Onc [All] Topic: Solid Tumors Thoracic Cancers [All]",20000113,20000113,0.0
20,20,57d944dadaafc31b10d558d0,"Haining  Yang university of hawaii cancer center, usa Thoracic Cancers [All],Health,Topic: Respiratory,Mesothelioma [All],Oncology Biomarkers,Thoracic Cancers,Receptor/Pathway,Topic: Solid Tumors,Patients,Topic: Pathology,Biomarkergeneral,Mesothelioma,Diagnosis,Pathway,Solid Tumors plus Hemato-Onc [All] Thoracic Cancers [All],Health,Topic: Respiratory,Mesothelioma [All],Oncology Biomarkers,Thoracic Cancers,Receptor/Pathway,Topic: Solid Tumors,Patients,Topic: Pathology,Biomarkergeneral,Mesothelioma,Diagnosis,Pathway,Solid Tumors plus Hemato-Onc [All] Thoracic Cancers [All] Health Topic: Respiratory Mesothelioma [All] Oncology Biomarkers Thoracic Cancers Receptor/Pathway Topic: Solid Tumors Patients Topic: Pathology Biomarkergeneral Mesothelioma Diagnosis Pathway Solid Tumors plus Hemato-Onc [All]",20000113,20000113,0.0
21,21,57d944dbdaafc31b10d56218,"Katy  Hogben imperial college healthcare nhs trust, london   ",1300152168113,1300152168113,0.0
22,22,57d944dddaafc31b10d574e7,"Ah Moy  Tan  Topic: Neurology,Central Nervous System Cancers [All],Solid Tumors plus Hemato-Onc [All],Nervous System Cancers [All],Brain Tumors [All],Gliomas General,Topic: Solid Tumors,Gliomas [All] Topic: Neurology,Central Nervous System Cancers [All],Solid Tumors plus Hemato-Onc [All],Nervous System Cancers [All],Brain Tumors [All],Gliomas General,Topic: Solid Tumors,Gliomas [All] Topic: Neurology Central Nervous System Cancers [All] Solid Tumors plus Hemato-Onc [All] Nervous System Cancers [All] Brain Tumors [All] Gliomas General Topic: Solid Tumors Gliomas [All]",TR_APAC_113,TR_APAC_113,0.0
23,23,57d944dddaafc31b10d57c3c,"Anthony J. Olszanski fox chase cancer center Therapy plain only,Cancer Drugs [All],Therapy General,Targeted Cancer Therapy,Health,Oncology General,Topic: Pathology,Solid Tumors/HemOnc - Chemo/Targeted Therapy,Oncology Biomarkers,AsthmaTargeted Therapy,Biomarkergeneral,Oncology - Drugs,Policy,Cancer Therapy,Systemic Cancer Therapy,Solid Tumors plus Hemato-Onc [All],Targeted Therapy General Therapy plain only,Cancer Drugs [All],Therapy General,Targeted Cancer Therapy,Health,Oncology General,Topic: Pathology,Solid Tumors/HemOnc - Chemo/Targeted Therapy,Oncology Biomarkers,AsthmaTargeted Therapy,Biomarkergeneral,Oncology - Drugs,Policy,Cancer Therapy,Systemic Cancer Therapy,Solid Tumors plus Hemato-Onc [All],Targeted Therapy General Therapy plain only Cancer Drugs [All] Therapy General Targeted Cancer Therapy Health Oncology General Topic: Pathology Solid Tumors/HemOnc - Chemo/Targeted Therapy Oncology Biomarkers AsthmaTargeted Therapy Biomarkergeneral Oncology - Drugs Policy Cancer Therapy Systemic Cancer Therapy Solid Tumors plus Hemato-Onc [All] Targeted Therapy General",10004113,10004113,0.0
24,24,57d944e0daafc31b10d59c7b,Eric  Winer    ,10004446,10004446,0.0
25,25,57d944e0daafc31b10d59c86,Eric  Winer    ,10004446,10004446,0.0
26,26,57d944e0daafc31b10d5a1f1,"Eric P. Winer  Health,Cancer Therapy,Topic: Benign Hematology,AdjuvantTreatment,Breast Cancer - Drugs,Neoadjuvant Cancer Therapy,Breast Cancer - Neoadjuvant Therapy,Anticancer Drugs General,Breast Cancer - Adjuvant Therapy,Breast Cancer,Topic: Gynecology & Obstetrics,Neoadjuvant,Oncology - Drugs,Therapy plain only,Breast Cancer [All],Drugs_General,Topic: Solid Tumors,Topic: Surgery,Therapy General,Cancer Treatment/Therapy General,Cancer Drugs [All],Systemic Cancer Therapy,Oncology General,Surgery,Hematology General,Topic: Hematology,Solid Tumors plus Hemato-Onc [All],Adjuvant,Neoadjuvant Therapy Health,Cancer Therapy,Topic: Benign Hematology,AdjuvantTreatment,Breast Cancer - Drugs,Neoadjuvant Cancer Therapy,Breast Cancer - Neoadjuvant Therapy,Anticancer Drugs General,Breast Cancer - Adjuvant Therapy,Breast Cancer,Topic: Gynecology & Obstetrics,Neoadjuvant,Oncology - Drugs,Therapy plain only,Breast Cancer [All],Drugs_General,Topic: Solid Tumors,Topic: Surgery,Therapy General,Cancer Treatment/Therapy General,Cancer Drugs [All],Systemic Cancer Therapy,Oncology General,Surgery,Hematology General,Topic: Hematology,Solid Tumors plus Hemato-Onc [All],Adjuvant,Neoadjuvant Therapy Health Cancer Therapy Topic: Benign Hematology AdjuvantTreatment Breast Cancer - Drugs Neoadjuvant Cancer Therapy Breast Cancer - Neoadjuvant Therapy Anticancer Drugs General Breast Cancer - Adjuvant Therapy Breast Cancer Topic: Gynecology & Obstetrics Neoadjuvant Oncology - Drugs Therapy plain only Breast Cancer [All] Drugs_General Topic: Solid Tumors Topic: Surgery Therapy General Cancer Treatment/Therapy General Cancer Drugs [All] Systemic Cancer Therapy Oncology General Surgery Hematology General Topic: Hematology Solid Tumors plus Hemato-Onc [All] Adjuvant Neoadjuvant Therapy",10004446,10004446,0.0
27,27,57d944e0daafc31b10d5a1fc,"Eric P. Winer  Cancer Treatment/Therapy General,Topic: Hematology,Solid Tumors plus Hemato-Onc [All],Hematology General,Oncology General,Therapy General,Anticancer Drugs General,Oncology - Drugs,Cancer Therapy,Systemic Cancer Therapy,Health,Cancer Drugs [All],Topic: Benign Hematology,Drugs_General Cancer Treatment/Therapy General,Topic: Hematology,Solid Tumors plus Hemato-Onc [All],Hematology General,Oncology General,Therapy General,Anticancer Drugs General,Oncology - Drugs,Cancer Therapy,Systemic Cancer Therapy,Health,Cancer Drugs [All],Topic: Benign Hematology,Drugs_General Cancer Treatment/Therapy General Topic: Hematology Solid Tumors plus Hemato-Onc [All] Hematology General Oncology General Therapy General Anticancer Drugs General Oncology - Drugs Cancer Therapy Systemic Cancer Therapy Health Cancer Drugs [All] Topic: Benign Hematology Drugs_General",10004446,10004446,0.0
28,28,57d944e1daafc31b10d5ad7a,"Mirta  Diez  Real World Data General,Real World Data,Topic: Immunology,Organ Transplantation General,Cardiac Surgery,ObservationalStudies,Cardiothoracic Surgery,Health Economics / Outcomes / Real World,Transplant,Solid Organ Transplantation,Heart Transplantation Real World Data General,Real World Data,Topic: Immunology,Organ Transplantation General,Cardiac Surgery,ObservationalStudies,Cardiothoracic Surgery,Health Economics / Outcomes / Real World,Transplant,Solid Organ Transplantation,Heart Transplantation Real World Data General Real World Data Topic: Immunology Organ Transplantation General Cardiac Surgery ObservationalStudies Cardiothoracic Surgery Health Economics / Outcomes / Real World Transplant Solid Organ Transplantation Heart Transplantation",1300152209113,1300152209113,0.0
29,29,57d944e3daafc31b10d5c78f,"S. C. McKenzie the prince charles hospital Thoracic Surgery General,Organ Transplantation General,Topic: Cardiovascular ,Epidemiology,Topic: Respiratory,Topic: Surgery,Biopsy,Thoracic Surgery,Diagnosis,Solid Organ Transplantation,Cardiac Surgery,Heart Transplantation,Topic: Epidemiology,Topic: Immunology,Public Health,Transplant,Lung Transplantation,Surgery,Cardiac Surgery General,Asthma Control,Research,Cardiothoracic Surgery,Heart Valve Diseases Thoracic Surgery General,Organ Transplantation General,Topic: Cardiovascular ,Epidemiology,Topic: Respiratory,Topic: Surgery,Biopsy,Thoracic Surgery,Diagnosis,Solid Organ Transplantation,Cardiac Surgery,Heart Transplantation,Topic: Epidemiology,Topic: Immunology,Public Health,Transplant,Lung Transplantation,Surgery,Cardiac Surgery General,Asthma Control,Research,Cardiothoracic Surgery,Heart Valve Diseases Thoracic Surgery General Organ Transplantation General Topic: Cardiovascular  Epidemiology Topic: Respiratory Topic: Surgery Biopsy Thoracic Surgery Diagnosis Solid Organ Transplantation Cardiac Surgery Heart Transplantation Topic: Epidemiology Topic: Immunology Public Health Transplant Lung Transplantation Surgery Cardiac Surgery General Asthma Control Research Cardiothoracic Surgery Heart Valve Diseases",1300152213113,1300152213113,0.0
30,30,57d944e4daafc31b10d5cd15,"S. C. McKenzie prince charles hospita Toxicology,Safety,Cancer Chemotherapy,Cardiac Surgery,Oncology - Drugs - Safety/Efficacy,Cancer Therapy,Cancer Drugs [All],Solid Organ Transplantation,Cancer Surgery,Anti-Cancer Drug Therapy Side Effects,Solid Tumors/HemOnc - Chemo/Targeted Therapy,Cardiomyopathies General,Solid Tumors plus Hemato-Onc [All],Oncology - Drugs,Topic: Immunology,Cardiothoracic Surgery,Systemic Cancer Therapy,Surgery,Cardiac Surgery General,Heart Transplantation,Organ Transplantation General,Oncology General,Topic: Surgery,Transplant,Chemotherapy Toxicology,Safety,Cancer Chemotherapy,Cardiac Surgery,Oncology - Drugs - Safety/Efficacy,Cancer Therapy,Cancer Drugs [All],Solid Organ Transplantation,Cancer Surgery,Anti-Cancer Drug Therapy Side Effects,Solid Tumors/HemOnc - Chemo/Targeted Therapy,Cardiomyopathies General,Solid Tumors plus Hemato-Onc [All],Oncology - Drugs,Topic: Immunology,Cardiothoracic Surgery,Systemic Cancer Therapy,Surgery,Cardiac Surgery General,Heart Transplantation,Organ Transplantation General,Oncology General,Topic: Surgery,Transplant,Chemotherapy Toxicology Safety Cancer Chemotherapy Cardiac Surgery Oncology - Drugs - Safety/Efficacy Cancer Therapy Cancer Drugs [All] Solid Organ Transplantation Cancer Surgery Anti-Cancer Drug Therapy Side Effects Solid Tumors/HemOnc - Chemo/Targeted Therapy Cardiomyopathies General Solid Tumors plus Hemato-Onc [All] Oncology - Drugs Topic: Immunology Cardiothoracic Surgery Systemic Cancer Therapy Surgery Cardiac Surgery General Heart Transplantation Organ Transplantation General Oncology General Topic: Surgery Transplant Chemotherapy",1300152213113,1300152213113,0.0
31,31,57d944e4daafc31b10d5cec2,"M.  Diez university hospital favaloro foundation Cardiac Surgery,Cardiac Surgery General,Topic: Cardiovascular ,Cardiothoracic Surgery,Surgery,Topic: Surgery,Topic: Immunology,Transplant,Health,Organ Transplantation General,Solid Organ Transplantation,Heart Transplantation,Cardiovascular General Cardiac Surgery,Cardiac Surgery General,Topic: Cardiovascular ,Cardiothoracic Surgery,Surgery,Topic: Surgery,Topic: Immunology,Transplant,Health,Organ Transplantation General,Solid Organ Transplantation,Heart Transplantation,Cardiovascular General Cardiac Surgery Cardiac Surgery General Topic: Cardiovascular  Cardiothoracic Surgery Surgery Topic: Surgery Topic: Immunology Transplant Health Organ Transplantation General Solid Organ Transplantation Heart Transplantation Cardiovascular General",1300152209113,1300152209113,0.0
32,32,57d944e4daafc31b10d5d094,"S. C. McKenzie prince charles hospital Health,Cardiothoracic Surgery,Solid Organ Transplantation,IT Systems,Topic: Immunology,Organ Transplantation General,Health-Information Technology,Transplant,Heart Transplantation,Care/Nursing,Cardiac Surgery,Technology Health,Cardiothoracic Surgery,Solid Organ Transplantation,IT Systems,Topic: Immunology,Organ Transplantation General,Health-Information Technology,Transplant,Heart Transplantation,Care/Nursing,Cardiac Surgery,Technology Health Cardiothoracic Surgery Solid Organ Transplantation IT Systems Topic: Immunology Organ Transplantation General Health-Information Technology Transplant Heart Transplantation Care/Nursing Cardiac Surgery Technology",1300152213113,1300152213113,0.0
33,33,57d944e7daafc31b10d5ed07,"Robert E. Gross  Therapy General,Therapy plain only,Epilepsy,Topic: Neurology,Nervous System Diseases,Central Nervous System Diseases,Brain Diseases Therapy General,Therapy plain only,Epilepsy,Topic: Neurology,Nervous System Diseases,Central Nervous System Diseases,Brain Diseases Therapy General Therapy plain only Epilepsy Topic: Neurology Nervous System Diseases Central Nervous System Diseases Brain Diseases",10007952,10007952,0.0
34,34,57d944e7daafc31b10d5ed4c,"Robert E. Gross  Ablation,Surgery General,Surgery,Topic: Surgery Ablation,Surgery General,Surgery,Topic: Surgery Ablation Surgery General Surgery Topic: Surgery",10007952,10007952,0.0
35,35,57d944e7daafc31b10d5ed75,"Robert E. Gross  Surgery,Neurosurgery,Topic: Surgery,Neurosurgery General Surgery,Neurosurgery,Topic: Surgery,Neurosurgery General Surgery Neurosurgery Topic: Surgery Neurosurgery General",10007952,10007952,0.0
36,36,57d944e7daafc31b10d5ed8e,"Robert E. Gross  Stem Cells,Therapy plain only,Hematopoietic Stem Cells,Therapy General Stem Cells,Therapy plain only,Hematopoietic Stem Cells,Therapy General Stem Cells Therapy plain only Hematopoietic Stem Cells Therapy General",10007952,10007952,0.0
37,37,57d944e7daafc31b10d5edf8,"Carole  Dennie  Topic: Radiology,Imaging General,Topic: Cardiovascular ,Cardiothoracic Radiology,Cardiovascular General,Imaging Topic: Radiology,Imaging General,Topic: Cardiovascular ,Cardiothoracic Radiology,Cardiovascular General,Imaging Topic: Radiology Imaging General Topic: Cardiovascular  Cardiothoracic Radiology Cardiovascular General Imaging",1300152167113,1300152167113,0.0
38,38,57d944e7daafc31b10d5ee52,Carole  Dennie  Research Research Research,1300152167113,1300152167113,0.0
39,39,57d944e7daafc31b10d5ee7b,"Carole  Dennie  Pulmonary Hypertension,Cardio-Pulmonary Complications,Topic: Cardiovascular ,Pediatric Cardiovascular Diseases,Pediatrics,High Blood Pressure General Pulmonary Hypertension,Cardio-Pulmonary Complications,Topic: Cardiovascular ,Pediatric Cardiovascular Diseases,Pediatrics,High Blood Pressure General Pulmonary Hypertension Cardio-Pulmonary Complications Topic: Cardiovascular  Pediatric Cardiovascular Diseases Pediatrics High Blood Pressure General",1300152167113,1300152167113,0.0
40,40,57d944e9daafc31b10d605c2,"J. B. Holle  Health,Hospital,Cystic Fibrosis,Respiratory General,Topic: Epidemiology,Therapy General,Topic: Infections,Infections - Hospitalisation,Topic: Gastroenterology,Therapy plain only,Infections Other,Antifungals,Infections - Therapy/Drugs,Topic: Respiratory,Epidemiology,Public Health,Infections / Pathogens,Abdominal Surgery Health,Hospital,Cystic Fibrosis,Respiratory General,Topic: Epidemiology,Therapy General,Topic: Infections,Infections - Hospitalisation,Topic: Gastroenterology,Therapy plain only,Infections Other,Antifungals,Infections - Therapy/Drugs,Topic: Respiratory,Epidemiology,Public Health,Infections / Pathogens,Abdominal Surgery Health Hospital Cystic Fibrosis Respiratory General Topic: Epidemiology Therapy General Topic: Infections Infections - Hospitalisation Topic: Gastroenterology Therapy plain only Infections Other Antifungals Infections - Therapy/Drugs Topic: Respiratory Epidemiology Public Health Infections / Pathogens Abdominal Surgery",1300152188112,1300152188112,0.0
41,41,57d944eedaafc31b10d63d7c,"Eric P. Winer chief, division of women’s cancer dana-farber cancer institute boston ma Breast Cancer,HER2-positive,HER2 positive Breast Cancer [All],ErbBPathway,Topic: Solid Tumors,Therapy General,Care/Nursing,Solid Tumors/HemOnc - Chemo/Targeted Therapy,Topic: Gynecology & Obstetrics,HER2 positive Breast Cancer,Cancer Therapy,Oncology - ERB Family - HER2 ,Molecular Targets in Oncology,Therapy plain only,Cancer Drugs [All],Targeted Cancer Therapy,Systemic Cancer Therapy,Solid Tumors plus Hemato-Onc [All],Oncology - ERB Family,Cancer Treatment/Therapy General,Tumor Biomarkers General,Oncology General,Topic: Pathology,Anticancer Drugs General,Breast Cancer [All],Onco Targeted Therapy Other,HER2,Breast Cancer - Biomarkers,Oncology - Drugs,Oncology Biomarkers,Breast Cancer - Drugs Breast Cancer,HER2-positive,HER2 positive Breast Cancer [All],ErbBPathway,Topic: Solid Tumors,Therapy General,Care/Nursing,Solid Tumors/HemOnc - Chemo/Targeted Therapy,Topic: Gynecology & Obstetrics,HER2 positive Breast Cancer,Cancer Therapy,Oncology - ERB Family - HER2 ,Molecular Targets in Oncology,Therapy plain only,Cancer Drugs [All],Targeted Cancer Therapy,Systemic Cancer Therapy,Solid Tumors plus Hemato-Onc [All],Oncology - ERB Family,Cancer Treatment/Therapy General,Tumor Biomarkers General,Oncology General,Topic: Pathology,Anticancer Drugs General,Breast Cancer [All],Onco Targeted Therapy Other,HER2,Breast Cancer - Biomarkers,Oncology - Drugs,Oncology Biomarkers,Breast Cancer - Drugs Breast Cancer HER2-positive HER2 positive Breast Cancer [All] ErbBPathway Topic: Solid Tumors Therapy General Care/Nursing Solid Tumors/HemOnc - Chemo/Targeted Therapy Topic: Gynecology & Obstetrics HER2 positive Breast Cancer Cancer Therapy Oncology - ERB Family - HER2  Molecular Targets in Oncology Therapy plain only Cancer Drugs [All] Targeted Cancer Therapy Systemic Cancer Therapy Solid Tumors plus Hemato-Onc [All] Oncology - ERB Family Cancer Treatment/Therapy General Tumor Biomarkers General Oncology General Topic: Pathology Anticancer Drugs General Breast Cancer [All] Onco Targeted Therapy Other HER2 Breast Cancer - Biomarkers Oncology - Drugs Oncology Biomarkers Breast Cancer - Drugs",10004446,10004446,0.0
