index	contribution_id	features	personId	pred
10	57d2ab82c0f22c010080cc0d	Tsuyoshi  Hayashi japan Topic: Radiology,Imaging General,Diagnosis,Imaging,Cancer Diagnostics General,Ultrasound (Sonography) Topic: Radiology,Imaging General,Diagnosis,Imaging,Cancer Diagnostics General,Ultrasound (Sonography) Topic: Radiology Imaging General Diagnosis Imaging Cancer Diagnostics General Ultrasound (Sonography)	1300152136112	1300152136112
11	57d4533f4c8a580100068bce	A. M.  Tan kk women's and children's hospital, paediatric subspecialties, singapore, singapore. Germ-Cell Tumors [All],Oncology General,Solid Tumors plus Hemato-Onc [All] Germ-Cell Tumors [All],Oncology General,Solid Tumors plus Hemato-Onc [All] Germ-Cell Tumors [All] Oncology General Solid Tumors plus Hemato-Onc [All]	TR_APAC_113	TR_APAC_113
12	57d944d5daafc31b10d527e5	Werner  Jung  Implant (General) Implant (General) Implant (General)	1300152212113	1300152212113
13	57d944d5daafc31b10d5290f	Werner  Jung  Therapy General,Therapy plain only Therapy General,Therapy plain only Therapy General Therapy plain only	1300152212113	1300152212113
14	57d944d5daafc31b10d529a3	Werner  Jung  Arrhythmias,Atrial Fibrillation - Non-Pharmacological Therapy,Ablation,Atrial Fibrillation - Ablation,Topic: Cardiovascular ,Atrial Fibrillation Arrhythmias,Atrial Fibrillation - Non-Pharmacological Therapy,Ablation,Atrial Fibrillation - Ablation,Topic: Cardiovascular ,Atrial Fibrillation Arrhythmias Atrial Fibrillation - Non-Pharmacological Therapy Ablation Atrial Fibrillation - Ablation Topic: Cardiovascular  Atrial Fibrillation	1300152212113	1300152212113
15	57d944d5daafc31b10d529bf	Werner  Jung  Macrovascular Complications,Topic: Cardiovascular ,Therapy plain only,Therapy General,Heart Failure,Cardiovascular General Macrovascular Complications,Topic: Cardiovascular ,Therapy plain only,Therapy General,Heart Failure,Cardiovascular General Macrovascular Complications Topic: Cardiovascular  Therapy plain only Therapy General Heart Failure Cardiovascular General	1300152212113	1300152212113
16	57d944d5daafc31b10d52a64	Werner  Jung    	1300152212113	1300152212113
17	57d944d5daafc31b10d52b1e	Werner  Jung  Therapy General,Therapy plain only Therapy General,Therapy plain only Therapy General Therapy plain only	1300152212113	1300152212113
18	57d944d8daafc31b10d54712	A.  Tan singapore Pediatrics,Imaging General,Imaging,Diagnosis,Topic: Radiology Pediatrics,Imaging General,Imaging,Diagnosis,Topic: Radiology Pediatrics Imaging General Imaging Diagnosis Topic: Radiology	TR_APAC_113	TR_APAC_113
19	57d944dadaafc31b10d558ab	Haining  Yang university of hawaii cancer center, usa Mesothelioma [All],Topic: Respiratory,Solid Tumors plus Hemato-Onc [All],Topic: Solid Tumors,Thoracic Cancers [All] Mesothelioma [All],Topic: Respiratory,Solid Tumors plus Hemato-Onc [All],Topic: Solid Tumors,Thoracic Cancers [All] Mesothelioma [All] Topic: Respiratory Solid Tumors plus Hemato-Onc [All] Topic: Solid Tumors Thoracic Cancers [All]	20000113	20000113
20	57d944dadaafc31b10d558d0	Haining  Yang university of hawaii cancer center, usa Thoracic Cancers [All],Health,Topic: Respiratory,Mesothelioma [All],Oncology Biomarkers,Thoracic Cancers,Receptor/Pathway,Topic: Solid Tumors,Patients,Topic: Pathology,Biomarkergeneral,Mesothelioma,Diagnosis,Pathway,Solid Tumors plus Hemato-Onc [All] Thoracic Cancers [All],Health,Topic: Respiratory,Mesothelioma [All],Oncology Biomarkers,Thoracic Cancers,Receptor/Pathway,Topic: Solid Tumors,Patients,Topic: Pathology,Biomarkergeneral,Mesothelioma,Diagnosis,Pathway,Solid Tumors plus Hemato-Onc [All] Thoracic Cancers [All] Health Topic: Respiratory Mesothelioma [All] Oncology Biomarkers Thoracic Cancers Receptor/Pathway Topic: Solid Tumors Patients Topic: Pathology Biomarkergeneral Mesothelioma Diagnosis Pathway Solid Tumors plus Hemato-Onc [All]	20000113	20000113
21	57d944dbdaafc31b10d56218	Katy  Hogben imperial college healthcare nhs trust, london   	1300152168113	1300152168113
22	57d944dddaafc31b10d574e7	Ah Moy  Tan  Topic: Neurology,Central Nervous System Cancers [All],Solid Tumors plus Hemato-Onc [All],Nervous System Cancers [All],Brain Tumors [All],Gliomas General,Topic: Solid Tumors,Gliomas [All] Topic: Neurology,Central Nervous System Cancers [All],Solid Tumors plus Hemato-Onc [All],Nervous System Cancers [All],Brain Tumors [All],Gliomas General,Topic: Solid Tumors,Gliomas [All] Topic: Neurology Central Nervous System Cancers [All] Solid Tumors plus Hemato-Onc [All] Nervous System Cancers [All] Brain Tumors [All] Gliomas General Topic: Solid Tumors Gliomas [All]	TR_APAC_113	TR_APAC_113
23	57d944dddaafc31b10d57c3c	Anthony J. Olszanski fox chase cancer center Therapy plain only,Cancer Drugs [All],Therapy General,Targeted Cancer Therapy,Health,Oncology General,Topic: Pathology,Solid Tumors/HemOnc - Chemo/Targeted Therapy,Oncology Biomarkers,AsthmaTargeted Therapy,Biomarkergeneral,Oncology - Drugs,Policy,Cancer Therapy,Systemic Cancer Therapy,Solid Tumors plus Hemato-Onc [All],Targeted Therapy General Therapy plain only,Cancer Drugs [All],Therapy General,Targeted Cancer Therapy,Health,Oncology General,Topic: Pathology,Solid Tumors/HemOnc - Chemo/Targeted Therapy,Oncology Biomarkers,AsthmaTargeted Therapy,Biomarkergeneral,Oncology - Drugs,Policy,Cancer Therapy,Systemic Cancer Therapy,Solid Tumors plus Hemato-Onc [All],Targeted Therapy General Therapy plain only Cancer Drugs [All] Therapy General Targeted Cancer Therapy Health Oncology General Topic: Pathology Solid Tumors/HemOnc - Chemo/Targeted Therapy Oncology Biomarkers AsthmaTargeted Therapy Biomarkergeneral Oncology - Drugs Policy Cancer Therapy Systemic Cancer Therapy Solid Tumors plus Hemato-Onc [All] Targeted Therapy General	10004113	10004113
24	57d944e0daafc31b10d59c7b	Eric  Winer    	10004446	10004446
